Name;Adresse;Postleitzahl;
bambus bio-fair-trade;Watterstrasse 18  8105 ;8105;
Becke-Martin Frischprodukte;Kirchgasse 7c  4402 ;4402;
Städtlilade;Städtchenstrasse 55  7320 ;7320;
Stedtli-Lade;Rathausstrasse 31  4410 ;4410;
Stiftung zur Palme;Hochstrasse 31 - 33  8330 ;8330;
Stiftung zur Palme;Im Bindschädler 1  8703 ;8703;
TATkraft Café und Bioladen;Haupstrasse 38  4102 ;4102;
Terra Bio;Bahnhofstrasse 17  8708 ;8708;
Teufers Kulinaria;Turmstrasse 17  8330 ;8330;
TOR 14;Bäckerstrasse 52  8026 ;8026;
tutto bene;Menznauerstrasse 12  6110 ;6110;
va bene Natur-&Geschenkladen;Schulhausstrasse 6  5612 ;5612;
vatter Royal;Luisenstrasse 14  3005 ;3005;
Verena Zobrist;Seckackerweg 6  5604 ;5604;
Verse;Nidaugasse 14  2502 ;2502;
Vier Jahreszyte;Untergass 15  8193 ;8193;
Vita Santé;Avenue Cèrèsole 5  1800 ;1800;
Vital Laden im Speisehaus;Dorneckstrasse 2  4143 ;4143;
Vital Punkt Bahnhof GmbH;Bahnhofplatz 3  9500 ;9500;
Vital Punkt Bahnhof GmbH;Bahnhofstrasse 22  4600 ;4600;
Vital Punkt GmbH;Stockerstrasse 38  8002 ;8002;
Vitalis Bioladen;Güterstrasse 203  4053 ;4053;
vitus;Ankengasse 7  8001 ;8001;
Viva natura;Löwengässchen 3  8200 ;8200;
Votre Santé;28  Bd Carl-Vogt  1205 ;1205;
Welt und Naturlada;Landstrasse 91  9494 ;9494;
Werk- und Wohnhaus zur Weid;Rossau  8932 ;8932;
Wyleregg-Laden ;Wylerstrasse 49  3014 ;3014;
Yardo Partner;Centro 6  8754 ;8754;
Zentrum-Markt Arnold;Schmiedgasse 10  6460 ;6460;
Zum Kleeblatt - Biologisches und mehr;Holeestrasse 158  4054 ;4054;
Natur + Leben Centaurea;Hauptstrasse 30  9434 ;9434;
Bidone;Hammerstrasse 21  8008 ;8008;
Natur-Lädeli;Allmendstrasse 75  4500 ;4500;
Naturade;l'Abbaye 108  2906 ;2906;
Naturdrogerie;Hauptstrasse 40  2560 ;2560;
Naturellement Vôtre;Rue des Rottes 26  1964 ;1964;
Naturlädäli;Spielhof 9  8750 ;8750;
Naturladen;Haus Derby  7050 ;7050;
Naturladen;Poststrasse  7050 ;7050;
Natürli GmbH;Hauptstrasse 5  9320 ;9320;
Natürlich Keller;Unterer Zielweg 113  4143 ;4143;
NATÜRLICHmeyer;Strählgasse 23  5413 ;5413;
Naturprodukte zum Sunneliecht;Froburgstrasse 3  8194 ;8194;
Negozio da mont;Ces  6747 ;6747;
Nektar Bioladen;Luzernerstrasse 18  6010 ;6010;
Neumühle;Neumühlestrasse 40  8406 ;8406;
Niione Natur;Alpenstrasse 15  6304 ;6304;
Oase - Laden & Bistro;Dorfstrasse 45  8630 ;8630;
Oasis Santé;Rue Dr. Schwab 14  2610 ;2610;
Oekoladen;Theaterstrasse 7  4051 ;4051;
Ojo De Agua;Oetenbachgasse 13  8001 ;8001;
oka superfoods;Obertor 7  8400 ;8400;
Paradies Dorflädeli;Breitlenweg 6  8634 ;8634;
Pfifouter Naturprodukte;Bernstrasse 6  3550 ;3550;
Bio Bäckerei zum Lindhof;Lindhofstrasse 53  8617 ;8617;
BIO Betschla reform;Stradun 335  7550 ;7550;
Bio Biasca;Via Lucomagno 12  6710 ;6710;
Bio Govinda;Via della Motta 11  6600 ;6600;
Bio im Zentrum;Uitikonerstrasse 9  8952 ;8952;
Bio Imkerladen;Berkenstrasse 9  3373 ;3373;
Bio Ladä;Grotzenmühlestrasse 38  8840 ;8840;
Bio Market;Via Lavizzari  7 b  6900 ;6900;
Bio Markt;Hubelweg 5  1712 ;1712;
Bio Markt Liestal;Hof Wil  4437 ;4437;
Bio Peter;Stadtgässli 9  5600 ;5600;
Bio Servette;Rte de Meyrin 3  1202 ;1202;
Bio-Ladä;Schmiedenstrasse 12  8840 ;8840;
Bio-Laden;Städtchen 8  8730 ;8730;
Bio-Mag;Rue E.-Roulet 3  2034 ;2034;
Bio-Märt Fricktal;Schaufelgasse 34  4313 ;4313;
Bio-Source;Rue de Gibraltar 20  2000 ;2000;
biofair Genossenschaft;Dorfwisenstrasse 14  8165 ;8165;
biohaus;Widengasse 10  5070 ;5070;
Biolade Grüenfeld;Grünfeld 2  8833 ;8833;
Bioladen Eichblatt;St. Johanns-Vorstadt 70  4056 ;4056;
Bioladen Ulme;Bankstrasse 30  8750 ;8750;
BioLand;Hauptstrasse 56  8162 ;8162;
Bioland;Tannwaldstrasse 44  4600 ;4600;
Piment Vert Sarl;Avenue de la Gare 10  1814 ;1814;
Plüss Bio Markt GmbH;Dorfplatz 6  6060 ;6060;
Prima Natura;Eisengasse 12  6004 ;6004;
Pro Natur;Oberdorfstrasse 12  8340 ;8340;
Punkt Sirnach AG;Winterthurerstrasse 3  8370 ;8370;
Punkt Wil;Marktgasse 38  9500 ;9500;
purpur Biolädeli;Postgasse 2 / Höheweg  3800 ;3800;
Q-Laden;Quartierhof 1  3013 ;3013;
Regioladen Tri-Color;Hauptstrasse 20  4104 ;4104;
Renggli  Bio-Milch; Gemüse;Cholholz  6207 ;6207
Rudolf Steiner Schule Sihlau /Laden;Sihlstrasse 23  8134 ;8134;
Rüttihubelbad AG;3512;     ;
s' Radiesli;Alte Simplonstrasse 7  3900 ;3900;
s'Lädeli;Ausserdorf 22  8421 ;8421;
sahara Greenshop;Aeschenvorstadt 4  4051 ;4051;
Salvia;Obertorplatz 1  5620 ;5620;
Schlössli-Laden;Kirchrain 15  3232 ;3232;
Schulladen Demetrius;Gurnigelweg 3  3612 ;3612;
Schüüre;Waldeck 95  4204 ;4204;
Sesam;Bergstrasse2  8910 ;8910;
Sesam Natura;Bahnhofstrasse 99  8620 ;8620;
Sgabuz Butietta;Archas Sot  7554 ;7554;
SOLBIO;Halles 13  2000 ;2000;
Sonnenrad;Ittigenstrasse 31  3063 ;3063;
Sonnhalde Gempen;Haglenweg 13  4145 ;4145;
biomobil;Galizistrasse 6  5632 ;5632;
BIONAT;Werdstrasse 18  9410 ;9410;
BioPeter Frick;Widengasse 10  5070 ;5070;
Bioprodukte Grünegg GmbH;Bellevuestrasse 2a  6280 ;6280;
BioPunktBasel;Mülhauserstrasse 78  4056 ;4056;
Biosfair;Bahnhofstrasse 4  8570 ;8570;
Biosfera di Candolfi & CO;Via ai Saleggi 38  6600 ;6600;
biowelt;Bahnhofstrasse 35  8580 ;8580;
Birena;Freiburgstrasse 1  3150 ;3150;
Buono;Schulthess-Allee 1  5200 ;5200;
Calendula;Soodstrasse 13  8134 ;8134;
Canto Verde;Limmattalstrasse 178  8049 ;8049;
CC Bio Magasin;Grand rue 22  2616 ;2616;
Centaurea;Hauptstrasse 30  9434 ;9434;
"Cérès ""autrement""";Place des Halles 5  2000 ;2000;
Ceres Nature;Place du Manoir 12  1223 ;1223;
Chäslaube M. Kündig;Am Marktplatz  9400 ;9400;
Chornlade;Milchgasse 4  5000 ;5000;
Christen;Teufenerstrasse 145  9012 ;9012;
Christine Frei;Schwimmbadstrasse 7  8213 ;8213;
D et A diffusion Sarl;Pierre Péquignat 16  2854 ;2854;
de Blacke Chrömer;Marktgasse 3  9050 ;9050;
Der Laden Biofachgeschäft;Delsbergstrasse 24  4242 ;4242;
Sonny Sport AG;brüggera  1716 ;1716;
Spycher Natur Laden;Engelbergstrasse 26  6370 ;6370;
Fahrni Naturprodukte;Via Salet  7500 ;7500;
Fischermätteli - Lade;Weissensteinstrasse 29a  3008 ;3008;
Fondation Perceval (Magasin);Maison François  1162 ;1162;
Fournil de la Ferme;Ch. de l'Auberge 4  1213 ;1213;
Gaia   Alimentation biologique;2-4  rue Victor Tissot  1630 ;1630;
Gänterli;Vonmattstrasse 50  6003 ;6003;
Gänterli Bio Laden;St. Urbangasse 59  4500 ;4500;
Garte-Chuchi;Lützelflühstrasse 17  3452 ;3452;
Gartenbauschule Hünibach;Chartreusestrasse 7  3626 ;3626;
Genossenschaft Hand in Hand;Hauptstrasse 25  6170 ;6170;
Désirée Riedweg-Steinegger;Mettmenstrasse 9  6288 ;6288;
Drogerie Haas GmbH;Freiestrasse 22  8500 ;8500;
Gesundheitsmarkt;Industriestrasse 31  8305 ;8305;
Gesundquelle Naturladen;Ob. Bahnhofstrasse 16  3714 ;3714;
Gmüesgarten Schirmensee;Bahnhofstrasse 2  8714 ;8714;
Gsund & Gnuss;Kreuzgasse 15  3076 ;3076;
Gsund & Guet;Plattenstrasse 26  5712 ;5712;
Gsund und Guet Laden;Hauptstrasse 19  4133 ;4133;
Hildegard- Laden;Pestalozzistrasse 10  8865 ;8865;
Käse; Brot & Co.;Schlüsselweg 5  8810 ;8810
Kaufmann Jakob;Oberfeld  6275 ;6275;
Kochtopf;Rathausplatz 5  6210 ;6210;
Kornblume;Wiesenstrasse 10  4900 ;4900;
L'Ultimo Bacio;Nordstrasse 227  8037 ;8037;
L'Ultimo Bacio;Obertor 5  8400 ;8400;
L'Ultimo Bacio;Metallstrasse 9a  6300 ;6300;
L'ULTIMO BACIO Rheinfelden GmbH;Obertorplatz 7  4310 ;4310;
L'Ultimo Bacio St.Gallen;Poststrasse 14  9000 ;9000;
La Bottega;Bottega Spruga  6663 ;6663;
La Ferme 1794;Champ-Raclè 19  3280 ;3280;
la fontaine;Chemin de la Fontaine 2  1260 ;1260;
La Source;Place Centrale  1936 ;1936;
Laden 29;Zeughausplatz 29  4410 ;4410;
Laden an der R.Steiner Schule;Schützengasse 54  2502 ;2502;
Lamaventura;Reits 311a  7173 ;7173;
Le Chat Noir;1787;     ;
Le Marché de Vie;25  rue des Eaux-Vives  1207 ;1207;
Le Panier Bio;60 Route de Thonon  1222 ;1222;
Le petit Paradis;Résidence - Equestre10  1746 ;1746;
Le Petit-Paradis ;Pl. du Petit-Paradis 24  1700 ;1700;
Le Relais de la Nature;Place de l'Octroi 10  1228 ;1228;
Le Topinambour;av. William-Fraisse 9  1006 ;1006;
LOLA;Lorrainestrasse 27  3013 ;3013;
Magasin Cérès;Place du marché 4  2300 ;2300;
"Marché ""main dans la main""";La Chaussé  1174 ;1174;
Marché-Bio Kalt;Les eterpis 2  1124 ;1124;
Margrit Bugmann (Bärner Märit);Muristrasse 99  3006 ;3006;
Martinslade;Luzernstrasse 94  6102 ;6102;
Matte-Lädeli;Gerberngasse 21  3011 ;3011;
Mio Bio Sagl;via Stazione 78  6987 ;6987;
Mühlistübli / Berger Mühle;Unterdorfstrasse 23  3612 ;3612;
Müller Edy;Grüningerstrasse 147  8626 ;8626;
